BLAST Ortholog,Sequence Length
WP_064892769.1 IclR family transcriptional regulator [Mycolicibacterium elephantis],233
WP_331518354.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MCB0941027.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_029114966.1 IclR family transcriptional regulator [Mycobacterium sp. URHB0044],233
WP_167103929.1 IclR family transcriptional regulator [Mycobacterium sp. DL592],233
WP_319455489.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_144951360.1 IclR family transcriptional regulator [Mycobacterium helveticum],233
WP_008259012.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_197380860.1 IclR family transcriptional regulator [Mycolicibacterium mengxianglii],233
WP_324681259.1 IclR family transcriptional regulator [Mycobacterium sp. 663a-19],233
WP_185295373.1 IclR family transcriptional regulator [Mycolicibacterium litorale],233
WP_237573077.1 IclR family transcriptional regulator [Mycolicibacterium lacusdiani],233
WP_163802708.1 IclR family transcriptional regulator [Mycolicibacterium anyangense],233
WP_278038217.1 IclR family transcriptional regulator [Mycobacterium sp. 236(2023)],233
WP_094476291.1 IclR family transcriptional regulator [Mycolicibacterium sphagni],233
MDT5075045.1 hypothetical protein [Mycobacterium sp.],233
WP_370490453.1 IclR family transcriptional regulator [Mycobacterium sp. pV006],233
HEX4391829.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_199253550.1 IclR family transcriptional regulator [Mycolicibacterium mengxianglii],233
WP_085167739.1 IclR family transcriptional regulator [Mycobacterium celatum],233
WP_083010543.1 IclR family transcriptional regulator [Mycobacterium malmoense],233
MCW2553412.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MDT5155044.1 hypothetical protein [Mycobacterium sp.],233
WP_396931985.1 IclR family transcriptional regulator [Mycolicibacterium sp.],233
WP_067802222.1 IclR family transcriptional regulator [Mycobacterium sp. ACS1612],233
WP_163674007.1 IclR family transcriptional regulator [Mycolicibacterium poriferae],233
MCW2731434.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_071511319.1 IclR family transcriptional regulator [Mycobacterium malmoense],233
WP_015355134.1 IclR family transcriptional regulator [Mycobacterium liflandii],233
MDT5186294.1 hypothetical protein [Mycobacterium sp.],233
MBV8928018.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium],233
WP_099024849.1 IclR family transcriptional regulator [Mycolicibacterium palauense],233
WP_186274336.1 IclR family transcriptional regulator [Mycobacterium kubicae],233
WP_308478661.1 IclR family transcriptional regulator [[Mycobacterium] burgundiense],233
MDT5114213.1 hypothetical protein [Mycobacterium sp.],233
WP_101949208.1 IclR family transcriptional regulator [Mycobacterium sp. 3519A],233
HKH52309.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_015306186.1 IclR family transcriptional regulator [Mycobacterium sp. JS623],233
MDT5391486.1 hypothetical protein [Mycobacterium sp.],233
WP_163662614.1 IclR family transcriptional regulator [Mycolicibacterium alvei],233
WP_067231144.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_122495562.1 IclR family transcriptional regulator [Mycobacterium attenuatum],233
WP_283605243.1 IclR family transcriptional regulator [Mycolicibacterium poriferae],233
WP_085188940.1 IclR family transcriptional regulator [Mycolicibacterium doricum],233
WP_059020899.1 IclR family transcriptional regulator [Mycobacterium sp. M26],233
WP_098005094.1 IclR family transcriptional regulator [Mycolicibacterium duvalii],233
WP_325682503.1 IclR family transcriptional regulator [Mycobacterium sp.],233
TXI39320.1 MAG: IclR family transcriptional regulator [Mycobacterium sp.],233
WP_066854337.1 IclR family transcriptional regulator [Mycobacterium sp. 1274756.6],233
MCX6479031.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_213439745.1 IclR family transcriptional regulator [Mycobacterium sp. SM1],233
WP_075511684.1 IclR family transcriptional regulator [Mycobacterium ostraviense],233
HEV7421491.1 IclR family transcriptional regulator [Mycobacterium sp.],233
"MCW2592405.1 transcriptional regulator, IclR family [Mycobacterium sp.]",233
WP_085174694.1 IclR family transcriptional regulator [Mycolicibacterium iranicum],233
WP_075545384.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
HEV7418343.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_046184488.1 IclR family transcriptional regulator [Mycobacterium nebraskense],233
MEO9220447.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium],233
WP_324395144.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_209917887.1 IclR family transcriptional regulator [Mycolicibacterium lutetiense],233
MDT5064946.1 hypothetical protein [Mycobacterium sp.],233
WP_149478513.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-18],233
HZQ32820.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_325687188.1 IclR family transcriptional regulator [Mycobacterium sp.],233
OBA88680.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium 1482268.1],233
WP_014214099.1 IclR family transcriptional regulator [Mycolicibacterium rhodesiae],233
MFN8043739.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_409434599.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-14],233
HEY6645620.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_064849581.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
HZC09767.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_140687743.1 IclR family transcriptional regulator [Mycolicibacterium hodleri],233
MCB0926215.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_065442073.1 IclR family transcriptional regulator [Mycobacterium malmoense],233
WP_369739584.1 IclR family transcriptional regulator [Mycobacterium sp. HUMS_12744610],233
WP_056549028.1 IclR family transcriptional regulator [Mycobacterium sp. Root135],233
WP_186242353.1 IclR family transcriptional regulator [Mycobacterium simulans],233
HEY2196988.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MCB0934384.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MCW2557663.1 IclR family transcriptional regulator [Mycobacterium sp.],233
HTZ16453.1 IclR family transcriptional regulator [Mycobacterium sp.],233
HEY5150782.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_043955242.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_059091360.1 IclR family transcriptional regulator [Mycobacterium sp. GA-2829],233
WP_149373319.1 IclR family transcriptional regulator [Mycolicibacterium sp. P9-64],233
WP_085256186.1 IclR family transcriptional regulator [Mycobacterium saskatchewanense],233
WP_264069771.1 IclR family transcriptional regulator [Mycolicibacterium komossense],233
WP_240258514.1 IclR family transcriptional regulator [Mycobacterium paraterrae],233
WP_103801563.1 IclR family transcriptional regulator [Mycobacterium kansasii],233
WP_036354472.1 IclR family transcriptional regulator [Mycobacterium asiaticum],233
WP_029105769.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],233
WP_135123842.1 IclR family transcriptional regulator [Mycobacterium sp. PS03-16],233
WP_284227701.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],233
WP_122441890.1 IclR family transcriptional regulator [Mycobacterium attenuatum],233
WP_203800211.1 IclR family transcriptional regulator [Mycobacterium heckeshornense],233
WP_049747499.1 IclR family transcriptional regulator [Mycolicibacterium goodii],233
WP_348733271.1 IclR family transcriptional regulator [uncultured Mycolicibacterium sp.],233
WP_020823240.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_065037873.1 IclR family transcriptional regulator [Mycobacterium asiaticum],233
MEE9243538.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_065119890.1 IclR family transcriptional regulator [Mycobacterium asiaticum],233
WP_267316889.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
WP_225324833.1 IclR family transcriptional regulator [Mycobacterium intracellulare],233
MDR3656772.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_105349331.1 IclR family transcriptional regulator [Mycobacterium sp. ITM-2016-00318],233
WP_162461154.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],233
MBI3223522.1 IclR family transcriptional regulator [Mycolicibacterium cosmeticum],233
WP_136245923.1 IclR family transcriptional regulator [Mycobacterium intracellulare],233
WP_270718030.1 IclR family transcriptional regulator [Mycolicibacterium sp. BiH015],233
MCU1694367.1 hypothetical protein [Mycobacterium sp.],233
WP_073695271.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],233
WP_065149322.1 IclR family transcriptional regulator [Mycobacterium asiaticum],233
AQT80856.1 IclR family transcriptional regulator [Mycolicibacterium litorale],233
WP_083141532.1 IclR family transcriptional regulator [Mycolicibacterium parafortuitum],233
WP_014380734.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_083112085.1 IclR family transcriptional regulator [Mycobacterium angelicum],233
WP_043393323.1 IclR family transcriptional regulator [Mycolicibacterium llatzerense],233
WP_283612501.1 IclR family transcriptional regulator [Mycolicibacterium poriferae],233
WP_123023860.1 IclR family transcriptional regulator [Mycolicibacterium stellerae],233
WP_299556355.1 IclR family transcriptional regulator [uncultured Mycolicibacterium sp.],233
WP_014712098.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_062656334.1 IclR family transcriptional regulator [Mycolicibacterium canariasense],233
WP_325499623.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_163736230.1 IclR family transcriptional regulator [Mycolicibacterium madagascariense],233
MBV8964618.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium],233
WP_057147551.1 IclR family transcriptional regulator [Mycolicibacterium psychrotolerans],233
WP_065142916.1 IclR family transcriptional regulator [Mycobacterium asiaticum],233
WP_138229914.1 IclR family transcriptional regulator [Mycolicibacterium aubagnense],233
HEV7851787.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_085669008.1 IclR family transcriptional regulator [Mycobacterium szulgai],233
WP_070352193.1 IclR family transcriptional regulator [Mycolicibacterium grossiae],233
WP_043407480.1 IclR family transcriptional regulator [Mycolicibacterium rufum],233
WP_207067455.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],233
MET0756685.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_068024857.1 IclR family transcriptional regulator [Mycobacterium kubicae],233
WP_024450449.1 IclR family transcriptional regulator [Mycolicibacterium cosmeticum],233
HXA11572.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_048630611.1 IclR family transcriptional regulator [Mycolicibacterium aurum],233
WP_211698432.1 IclR family transcriptional regulator [Mycobacterium spongiae],233
MFO7165040.1 IclR family transcriptional regulator [Mycolicibacterium hassiacum],233
WP_166555078.1 IclR family transcriptional regulator [Mycolicibacterium sp. CBMA 226],233
MCW2521450.1 hypothetical protein [Mycobacterium sp.],233
WP_162462153.1 IclR family transcriptional regulator [Mycolicibacterium sp. CBMA 234],233
WP_192721264.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
HYO03946.1 IclR family transcriptional regulator [Mycobacterium sp.],233
CAM4325576.1 IclR family transcriptional regulator [Mycobacterium senriense],233
WP_023372189.1 IclR family transcriptional regulator [Mycobacterium kansasii],233
WP_293324400.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_375482929.1 IclR family transcriptional regulator [uncultured Mycobacterium sp.],233
WP_264037351.1 IclR family transcriptional regulator [Mycobacterium paraffinicum],233
WP_318982529.1 IclR family transcriptional regulator [Mycolicibacterium sp. 120266],233
WP_266050043.1 IclR family transcriptional regulator [Mycolicibacterium sp. J2],233
MDT5336884.1 hypothetical protein [Mycobacterium sp.],233
WP_355214368.1 IclR family transcriptional regulator [Mycobacterium sp. NPDC006124],233
WP_349650855.1 IclR family transcriptional regulator [Mycobacterium canetti],233
WP_142554001.1 IclR family transcriptional regulator [Mycolicibacterium hodleri],233
WP_318993709.1 IclR family transcriptional regulator [Mycolicibacterium sp. 120270],233
WP_353359855.1 IclR family transcriptional regulator [Mycobacterium sp.],233
HXA89225.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_024449116.1 IclR family transcriptional regulator [Mycolicibacterium iranicum],233
WP_083065417.1 IclR family transcriptional regulator [Mycobacterium arosiense],233
WP_260751398.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-8],233
WP_068040735.1 IclR family transcriptional regulator [Mycobacterium sp. E2733],233
WP_064936210.1 IclR family transcriptional regulator [Mycobacterium intracellulare],233
WP_068011327.1 IclR family transcriptional regulator [Mycobacterium sp. E3251],233
MEI7518123.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium],233
MCB1265451.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_079926233.1 IclR family transcriptional regulator [Mycobacterium sp. AT1],233
WP_083174051.1 IclR family transcriptional regulator [Mycobacterium paraseoulense],233
WP_221043851.1 IclR family transcriptional regulator [Mycobacterium senriense],233
MDD4868433.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_306241469.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_184442892.1 IclR family transcriptional regulator [Mycobacterium sp. AZCC_0083],233
WP_353368499.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_068214211.1 IclR family transcriptional regulator [Mycobacterium alsense],233
MDT5257240.1 hypothetical protein [Mycobacterium sp.],233
WP_133413246.1 IclR family transcriptional regulator [Mycolicibacterium obuense],233
HZC51810.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_048890799.1 IclR family transcriptional regulator [Mycobacterium heckeshornense],233
WP_065028049.1 IclR family transcriptional regulator [Mycobacterium colombiense],233
WP_005626470.1 IclR family transcriptional regulator [Mycolicibacterium hassiacum],233
WP_178362146.1 MULTISPECIES: IclR family transcriptional regulator domain-containing protein [Mycobacteriaceae],233
WP_297601242.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_083179626.1 IclR family transcriptional regulator [Mycobacterium scrofulaceum],233
WP_280825225.1 IclR family transcriptional regulator [Mycobacterium sp. OTB74],233
WP_264000043.1 IclR family transcriptional regulator [Mycobacterium yunnanensis],233
WP_076063235.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_085195748.1 IclR family transcriptional regulator [Mycobacterium xenopi],233
GJF10822.1 IclR family transcriptional regulator [Mycolicibacterium cyprinidarum],233
WP_003922108.1 IclR family transcriptional regulator [Mycobacterium xenopi],233
WP_014815120.1 IclR family transcriptional regulator [Mycolicibacterium chubuense],233
MDT5044703.1 hypothetical protein [Mycobacterium sp.],233
WP_065048040.1 IclR family transcriptional regulator [Mycobacterium paragordonae],233
WP_293234359.1 IclR family transcriptional regulator [Mycolicibacterium sp.],233
WP_163710702.1 IclR family transcriptional regulator [Mycobacterium timonense],233
WP_064880888.1 IclR family transcriptional regulator [Mycobacterium colombiense],233
WP_007171324.1 IclR family transcriptional regulator [Mycobacterium parascrofulaceum],233
WP_067953924.1 IclR family transcriptional regulator [Mycobacterium sp. NAZ190054],233
MEX0579565.1 IclR family transcriptional regulator [Mycobacterium sp.],233
HVQ83177.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_066993288.1 IclR family transcriptional regulator [Mycobacterium sp. 1465703.0],233
MCW2653947.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_370472940.1 IclR family transcriptional regulator [[Mycobacterium] bulgaricum],233
WP_297735892.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_076125901.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_330980816.1 IclR family transcriptional regulator [Mycobacterium sp. 050128],233
HEY1441860.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_067254957.1 IclR family transcriptional regulator [Mycobacterium sp. 852002-10029_SCH5224772],233
WP_163889357.1 IclR family transcriptional regulator [Mycolicibacterium hippocampi],233
WP_067948233.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_096438525.1 IclR family transcriptional regulator [Mycobacterium shigaense],233
WP_255061806.1 IclR family transcriptional regulator [Mycolicibacterium arenosum],233
WP_066981102.1 IclR family transcriptional regulator [Mycobacterium sp. 1274761.0],233
MBX9640984.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium],233
WP_083046793.1 IclR family transcriptional regulator [Mycobacterium shinjukuense],233
WP_048418099.1 IclR family transcriptional regulator [Mycolicibacterium chubuense],233
WP_293322919.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_318973475.1 IclR family transcriptional regulator [Mycolicibacterium sp. 050158],233
WP_133447760.1 IclR family transcriptional regulator [Mycobacterium paragordonae],233
HTX96141.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_064280811.1 IclR family transcriptional regulator [Mycolicibacterium iranicum],233
WP_343603060.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_065478944.1 IclR family transcriptional regulator [Mycobacterium malmoense],233
HWF30324.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_068131318.1 IclR family transcriptional regulator [Mycobacterium sp. E796],233
WP_241204054.1 IclR family transcriptional regulator [Mycobacterium sp. PSTR-4-N],233
WP_090356962.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],233
HET9889137.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MBV9090688.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium],233
WP_067124738.1 IclR family transcriptional regulator [Mycobacterium sp. 852002-51971_SCH5477799-a],233
WP_097938296.1 IclR family transcriptional regulator [Mycolicibacterium agri],233
WP_163675207.1 IclR family transcriptional regulator [Mycobacterium seoulense],233
WP_370333434.1 IclR family transcriptional regulator [Mycolicibacterium hippocampi],233
WP_310785270.1 IclR family transcriptional regulator [Mycobacterium sp. Z3061],233
HYR14823.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_064950744.1 IclR family transcriptional regulator [Mycobacterium colombiense],233
WP_067199814.1 IclR family transcriptional regulator [Mycobacterium sp. 852002-30065_SCH5024008],233
MDT5318321.1 hypothetical protein [Mycobacterium sp.],233
WP_243072761.1 IclR family transcriptional regulator [Candidatus Mycolicibacterium alkanivorans],233
WP_067744648.1 IclR family transcriptional regulator [Mycobacterium sp. 852014-50255_SCH5639931],233
WP_055576487.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_067115774.1 IclR family transcriptional regulator [Mycobacterium sp. 852002-51057_SCH5723018],233
WP_183469241.1 IclR family transcriptional regulator [Mycolicibacterium iranicum],233
HKV18549.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_067266117.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_067009389.1 IclR family transcriptional regulator [Mycobacterium sp. 1081908.1],233
WP_077090158.1 IclR family transcriptional regulator [Mycobacterium rhizamassiliense],233
WP_065134464.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_003928679.1 IclR family transcriptional regulator [Mycolicibacterium vaccae],233
WP_066952499.1 IclR family transcriptional regulator [Mycobacterium sp. 852002-53434_SCH5985345],233
WP_143818719.1 IclR family transcriptional regulator [Mycolicibacterium sp. 018/SC-01/001],233
WP_085232187.1 IclR family transcriptional regulator [Mycobacterium conspicuum],233
WP_065158853.1 IclR family transcriptional regulator [Mycobacterium asiaticum],233
MCX6484175.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_077098266.1 IclR family transcriptional regulator [Mycobacterium terramassiliense],233
WP_065472302.1 IclR family transcriptional regulator [Mycobacterium malmoense],233
WP_163710107.1 IclR family transcriptional regulator [Mycobacterium bourgelatii],233
WP_046362351.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],233
WP_325425734.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_096878155.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],233
WP_067353270.1 IclR family transcriptional regulator [Mycobacterium sp. 1165178.9],233
WP_260744657.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-2],233
WP_264037924.1 IclR family transcriptional regulator [Mycolicibacterium hodleri],233
HET7073938.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_240170037.1 IclR family transcriptional regulator [Mycolicibacillus parakoreensis],233
WP_085292439.1 IclR family transcriptional regulator [Mycolicibacterium vulneris],233
HUE33280.1 IclR family transcriptional regulator [Mycobacterium sp.],233
HWT49419.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_083097356.1 IclR family transcriptional regulator [Mycobacterium mantenii],233
WP_015303672.1 IclR family transcriptional regulator [Mycobacterium canetti],233
HCA51568.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MCX6488706.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_048470109.1 IclR family transcriptional regulator [Mycolicibacterium chlorophenolicum],233
HEX5252895.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_067276467.1 IclR family transcriptional regulator [Mycobacterium scrofulaceum],233
WP_073871821.1 IclR family transcriptional regulator [Mycobacterium paraffinicum],233
WP_067306985.1 IclR family transcriptional regulator [Mycobacterium scrofulaceum],233
WP_205877144.1 IclR family transcriptional regulator [Mycobacterium gordonae],233
WP_293037173.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_085077260.1 IclR family transcriptional regulator [Mycobacterium palustre],233
WP_374022202.1 IclR family transcriptional regulator [Mycobacterium sp. HNNTM2301],233
WP_132160133.1 IclR family transcriptional regulator [Mycobacterium avium],233
HWX99089.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_066909321.1 IclR family transcriptional regulator [Mycobacterium interjectum],233
WP_067835473.1 IclR family transcriptional regulator [Mycobacterium mantenii],233
WP_068189646.1 IclR family transcriptional regulator [Mycobacterium sp. UM_CSW],233
WP_062890810.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium avium complex (MAC)],233
WP_112633904.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_067758343.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
MBX7450248.1 IclR family transcriptional regulator [Mycolicibacterium aurantiacum],233
WP_085268003.1 IclR family transcriptional regulator [Mycobacterium parmense],233
WP_197373806.1 IclR family transcriptional regulator [Mycolicibacterium baixiangningiae],233
WP_158016019.1 IclR family transcriptional regulator [Mycobacterium basiliense],233
WP_011895072.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
MEI7546272.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium],233
WP_264011938.1 IclR family transcriptional regulator [[Mycobacterium] manitobense],233
WP_085177345.1 IclR family transcriptional regulator [Mycobacterium paraense],233
HEY2501814.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_364971372.1 IclR family transcriptional regulator [Mycobacterium sp. NPDC050551],233
WP_083019760.1 IclR family transcriptional regulator [Mycobacterium marseillense],233
WP_057372461.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],233
UKO64700.1 IclR family transcriptional regulator [Mycobacterium avium subsp. paratuberculosis],233
WP_193043490.1 IclR family transcriptional regulator [Mycolicibacterium baixiangningiae],233
OBA75888.1 IclR family transcriptional regulator [Mycobacterium sp. 1554424.7],233
WP_031700802.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],233
WP_085102458.1 IclR family transcriptional regulator [Mycobacterium paraense],233
WP_047313054.1 IclR family transcriptional regulator [Mycobacterium haemophilum],233
WP_067168931.1 IclR family transcriptional regulator [Mycobacterium marseillense],233
WP_068102062.1 IclR family transcriptional regulator [Mycobacterium sp. E2327],233
MFN8070568.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_067094407.1 IclR family transcriptional regulator [Mycobacterium sp. 852002-40037_SCH5390672],233
WP_068072067.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_068059551.1 IclR family transcriptional regulator [Mycobacterium sp. E342],233
WP_335333765.1 IclR family transcriptional regulator [Mycobacterium kyogaense],233
WP_015294081.1 IclR family transcriptional regulator [Mycobacterium canetti],233
HEX4558481.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_085184390.1 IclR family transcriptional regulator [Mycobacterium sp. IEC1808],233
WP_068094216.1 IclR family transcriptional regulator [Mycobacterium sp. E2497],233
HYQ35909.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_159233888.1 IclR family transcriptional regulator [Mycolicibacterium vanbaalenii],233
WP_324932941.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_112709529.1 IclR family transcriptional regulator [Mycobacterium colombiense],233
WP_406816455.1 IclR family transcriptional regulator [Mycobacterium sp. M23085],233
WP_221367227.1 IclR family transcriptional regulator [Mycolicibacterium xanthum],233
WP_031729698.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],233
WP_067918887.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_225329118.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_264026696.1 IclR family transcriptional regulator [Mycolicibacterium pyrenivorans],233
WP_269895043.1 IclR family transcriptional regulator [Mycobacterium hippophais],233
WP_066862039.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_068078722.1 IclR family transcriptional regulator [Mycobacterium sp. E1747],233
WP_068217893.1 IclR family transcriptional regulator [Mycobacterium sp. E3339],233
WP_256101957.1 IclR family transcriptional regulator [Mycobacterium gordonae],233
WP_057136267.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],233
WP_083074684.1 IclR family transcriptional regulator [Mycobacterium heidelbergense],233
WP_054880366.1 IclR family transcriptional regulator [Mycobacterium haemophilum],233
WP_031669925.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],233
WP_055384313.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],233
WP_055403314.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
OBF13695.1 hypothetical protein A5727_16680 [Mycobacterium sp. ACS4331],234
HEU4362113.1 IclR family transcriptional regulator [Mycobacterium sp.],235
HEX7322602.1 IclR family transcriptional regulator [Mycobacterium sp.],235
HEX7322170.1 IclR family transcriptional regulator [Mycobacterium sp.],235
BBZ35580.1 putative IclR-family regulatory protein [Mycolicibacterium confluentis],236
MDT5010765.1 hypothetical protein [Mycobacterium sp.],236
MCV7409044.1 IclR family transcriptional regulator [Mycobacterium florentinum],237
WP_343571431.1 IclR family transcriptional regulator [Mycobacterium sp.],238
"WP_261861246.1 IclR family transcriptional regulator, partial [Mycobacterium montefiorense]",239
WP_319447820.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],239
MDT5077555.1 hypothetical protein [Mycobacterium sp.],239
WP_229478909.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],241
MCW2560084.1 IclR family transcriptional regulator [Mycobacterium sp.],242
WP_068915343.1 IclR family transcriptional regulator [Mycolicibacterium murale],245
WP_115278236.1 IclR family transcriptional regulator [Mycolicibacterium tokaiense],245
WP_083741160.1 IclR family transcriptional regulator [Mycobacterium sp. MS1601],245
WP_115281903.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],245
ORA71862.1 IclR family transcriptional regulator [Mycolicibacterium insubricum],245
SIA58797.1 transcriptional regulator [Mycobacteroides abscessus subsp. abscessus],245
BBY62341.1 putative IclR-family regulatory protein [Mycolicibacterium helvum],246
WP_370581588.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],246
BBY59922.1 putative IclR-family regulatory protein [Mycolicibacterium sarraceniae],246
WP_234820561.1 IclR family transcriptional regulator [Mycolicibacterium goodii],246
WP_232836261.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],246
WP_228025543.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],246
ANE83170.1 IclR family transcriptional regulator [Mycobacterium adipatum],246
MDT5076961.1 hypothetical protein [Mycobacterium sp.],246
